x,y,color
516.0127058,393.0145139,0
436.2117622,408.6565849,0
512.0526012,372.0220136,0
489.1404645,401.8071594,0
446.2079859,338.5166822,0
516.4143943,354.1946332,0
499.3863531,414.4322961,0
489.3139371,408.0665956,0
440.1093924,394.8216766,0
444.1191708,367.8503051,0
430.8531367,364.0463181,0
462.7448851,411.3374508,0
525.390835,344.2468509,0
489.9870399,366.080455,0
513.9066881,378.0179973,0
485.212895,347.6738397,0
529.120055,359.8463187,0
518.6871304,382.7215566,0
464.5499943,317.7993655,0
489.1362873,322.4817914,0
517.0391005,359.4994999,0
501.924084,406.5793763,0
517.3271821,407.1939073,0
482.4187003,402.3376873,0
502.8058242,348.7704175,0
493.3914849,396.1919795,0
494.2250926,320.3687051,0
506.7176077,321.3100159,0
477.906008,376.6104354,0
475.7710041,385.6888465,0
526.3674862,385.9015929,0
458.4423104,412.2611059,0
541.4330242,349.1140024,0
478.2167532,375.6246257,0
460.5624526,391.5014153,0
530.4595984,400.3740378,0
522.9458641,366.8870077,0
482.9750995,385.9668065,0
494.3666172,412.2156096,0
539.5281302,428.940196,0
488.6095005,352.8908423,0
463.1618097,433.6460556,0
515.9308341,365.3147131,0
510.5066111,356.9058436,0
468.1945532,436.0717679,0
482.6366921,416.6518975,0
491.7874294,377.3912061,0
479.6792213,391.9782906,0
507.0110518,413.986641,0
416.8202611,406.4029812,0
493.3263135,447.4476281,0
425.0833565,391.5358349,0
419.7509494,357.607321,0
484.4617012,387.1707757,0
440.6937746,444.2206921,0
453.8305226,372.8275481,0
475.2397225,389.9782813,0
426.0135613,399.3393722,0
489.3020773,368.903425,0
478.5477777,372.178967,0
479.8175236,439.2756686,0
467.8251555,410.9771353,0
468.5219093,423.1356146,0
475.7890889,405.9752332,0
422.0058413,410.9910161,0
494.8695769,376.3584622,0
449.8698888,358.9459333,0
457.4432053,381.6507838,0
477.4318864,422.1844686,0
450.9193086,399.8004119,0
510.8075527,348.377082,0
483.1816862,427.3981309,0
420.6607637,428.164189,0
506.8198439,425.4232887,0
434.523234,344.2390696,0
430.3840144,333.0579206,0
505.0431677,356.3928094,0
463.7004461,421.1900351,0
437.5793754,330.1355366,0
428.1966466,383.6569881,0
511.1332852,340.9957202,0
440.2125937,328.1965288,0
478.8221441,354.2341594,0
488.4427715,381.50688,0
507.327902,371.7424804,0
506.69484,399.8196376,0
424.3229851,408.2575355,0
509.2539398,402.5540714,0
493.1196808,388.9357322,0
505.8126816,364.0988012,0
474.4914727,382.8801592,0
497.9418829,350.3835043,0
